Iteration,Loss
1,1.0893812535759788
2,1.059385534084819
3,1.0287652867782244
4,0.9975294517607817
5,0.9656894182486111
6,0.9332589701802855
7,0.9002542828541632
8,0.8666937012283839
9,0.8325977298057183
10,0.7979889106199878
11,0.7628917023632277
12,0.7273322922827951
13,0.6913384178836213
14,0.6549391669445332
15,0.6181646765035851
16,0.5810460321300074
17,0.5436149449457559
18,0.5059035684627408
19,0.4679442716285909
20,0.42976947059132725
21,0.3914114683975612
22,0.352902340346416
23,0.3142738276197477
24,0.2755572912101674
25,0.23678367100161055
26,0.19798347992004167
27,0.15918676895540348
28,0.12042312310715654
29,0.08172164345188003
30,0.04311093682136301
31,0.004619130470730337
32,-0.033726132391240914
33,-0.07189765192000387
34,-0.10986866507367667
35,-0.1476128273037183
36,-0.18510409354170904
37,-0.22231678280709646
38,-0.25922538898521635
39,-0.2958044284583786
40,-0.33202821015593237
41,-0.3678705552271786
42,-0.40330452478267065
43,-0.4383021848056331
44,-0.47283441853308394
45,-0.5068708573869417
46,-0.5403798765635934
47,-0.5733286947436627
48,-0.6056835589525927
49,-0.6374100229055817
50,-0.6684732969032192
51,-0.6988386477898183
52,-0.7284718438430831
53,-0.7573396196118457
54,-0.7854101073390514
55,-0.8126532704275583
56,-0.8390412498312431
57,-0.8645487428614336
58,-0.889153252236623
59,-0.9128354034909039
60,-0.9355791682178282
61,-0.957372059436691
62,-0.9782052125145909
63,-0.99807345756824
64,-1.0169752818257283
65,-1.0349128227340751
66,-1.0518918253569385
67,-1.0679215666785282
68,-1.083014823791605
69,-1.0971878408672617
70,-1.11046026208677
71,-1.1228550036926948
72,-1.134398046437443
73,-1.1451181477941785
74,-1.1550464752583116
75,-1.1642162243618752
76,-1.1726622181973052
77,-1.1804205164977575
78,-1.1875280711554987
79,-1.194022402186456
80,-1.199941357034188
81,-1.2053228655557293
82,-1.2102047075960347
83,-1.214624196913864
84,-1.2186178211039813
85,-1.2222208438376714
86,-1.2254669281526325
87,-1.2283878482193922
88,-1.2310133025572272
89,-1.233370839333474
90,-1.235485872362177
91,-1.2373817767075885
92,-1.2390800269135147
93,-1.2406003487170507
94,-1.2419608492134129
95,-1.2431781066054557
96,-1.244267242661595
97,-1.2452419781438313
98,-1.2461146861011192
99,-1.246896472288562
100,-1.2475972786801905
101,-1.2482260102935392
102,-1.2487906637900439
103,-1.2492984283169015
104,-1.2497557407389308
105,-1.2501683190593094
106,-1.2505411812152198
107,-1.2508786967276486
108,-1.2511846590365017
109,-1.2514623761588122
110,-1.2517147652594438
111,-1.2519444379228613
112,-1.2521537469973358
113,-1.252344826385864
114,-1.2525195951729928
115,-1.2526797727909709
116,-1.2528268776351668
117,-1.2529622518097525
118,-1.2530870641865532
119,-1.2532023326295176
120,-1.253308922558962
121,-1.2534075754367389
122,-1.2534989035792348
123,-1.2535834473021277
124,-1.2536616955426436
125,-1.253734141327688
126,-1.2538013082677812
127,-1.2538637349787136
128,-1.2539219516363211
129,-1.2539764346962823
130,-1.2540275839025432
131,-1.2540757229141768
132,-1.2541210973007624
133,-1.2541638993625015
134,-1.2542042761625627
135,-1.2542423531745157
136,-1.2542782373377122
137,-1.2543120344530352
138,-1.2543438513439054
139,-1.254373794932634
140,-1.2544019776347242
141,-1.2544285204354275
142,-1.2544535465375193
143,-1.2544771916584319
144,-1.2544995928922358
145,-1.2545208819230542
146,-1.2545411716808237
147,-1.2545605502631638
148,-1.2545790836561839
149,-1.254596808117375
150,-1.2546137511477287
